subjectID,Control.ACC,Control.RT,Relational.ACC,Relational.RT
100307,0.933333333,1672.357143,0.916666667,2221.272727
102008,0.933333333,1325.714286,0.583333333,2322.714286
107422,1,1421,0.75,2297.333333
111413,1,1571.533333,0.833333333,2331.5
113619,1,1450.133333,0.583333333,1829.857143
115320,0.933333333,1763.571429,0.583333333,2404.714286
118528,1,1385.333333,0.666666667,1617.25
118730,1,1407.066667,0.583333333,2368.285714
118932,1,1825.933333,0.416666667,1911.2
120515,0.933333333,1359.714286,0.583333333,1666.142857
122317,0.8,1818.666667,0.833333333,1924.1
122620,0.933333333,1874.5,0.75,2572.111111
127933,1,1340.266667,0.5,1821.5
129028,1,1473.4,0.833333333,1882.8
133625,0.933333333,1664.928571,1,2129.666667
135225,1,1544.933333,0.416666667,2556.8
137128,0.933333333,1380.785714,0.583333333,1666.428571
138231,0.933333333,1508.428571,0.583333333,2226.714286
141422,1,1463.266667,1,2041.916667
141826,0.933333333,1830.714286,0.333333333,2890.25
148840,1,1563.666667,0.916666667,1932.181818
150524,0.933333333,1698.285714,1,2420.583333
153429,1,1192.133333,0.833333333,1505.1
158035,0.933333333,1215.857143,0.833333333,1630.1
158540,0.866666667,1504.538462,0.583333333,2107.571429
159138,0.933333333,1307.071429,0.666666667,1373.125
161630,1,958.8,0.75,1418.111111
169444,0.933333333,1598.642857,1,1722.666667
172029,0.866666667,2215.461538,0.583333333,2656.142857
172130,0.933333333,1206.142857,0.333333333,1501.5
175439,0.8,1735,0.583333333,2070.285714
177746,1,1409.333333,0.916666667,2224
178142,1,1311.466667,0.916666667,1718.818182
178950,1,1429.2,1,2084.416667
179548,0.933333333,1591.642857,1,2429.083333
180432,1,1091.8,1,1752.666667
183034,0.933333333,1114.5,0.5,1502.333333
189349,1,1096.333333,0.833333333,1566.5
190031,1,1245.533333,0.833333333,1860
191033,1,1347.733333,1,1697.75
194645,0.933333333,1595.142857,0.75,2199
194847,1,1343.4,1,2087.75
195849,1,1470.4,0.916666667,2048.272727
196144,0.933333333,2009.928571,0.416666667,2678.6
200109,0.866666667,1235.615385,0.75,1711.666667
205725,0.866666667,1134.846154,0.833333333,1289.7
208024,1,1419.866667,1,1789.5
210617,0.866666667,1682.538462,0.583333333,2088.857143
211316,0.666666667,1704.4,0.583333333,2380
211417,1,1332.466667,0.666666667,1436
214423,0.866666667,1491,0.916666667,2310.454545
251833,0.933333333,1389.714286,0.666666667,1346.25
268850,1,1558.933333,0.5,1780.166667
285345,1,1569.733333,0.583333333,1624.571429
307127,0.733333333,1886.363636,0.583333333,2551.428571
334635,0.933333333,1439.785714,0.416666667,2353.8
339847,0.933333333,1279.785714,1,2070.166667
352738,0.866666667,1251.461538,0.916666667,1832.818182
366042,1,1582.133333,0.833333333,2248.1
397760,0.866666667,1565.384615,0.5,2742.166667
414229,1,1237.2,1,1809.75
486759,1,1583.266667,1,1974.333333
500222,1,1273.2,0.916666667,1618.090909
530635,0.866666667,1450.692308,0.583333333,1562.142857
540436,0.733333333,1855.272727,0.666666667,1831.5
547046,0.933333333,1590.714286,0.833333333,2507.1
567961,0.866666667,1699.076923,0.5,2092.666667
568963,1,1144.933333,0.666666667,1858.125
573249,1,1292.8,1,2001.5
585862,0.6,1381.777778,0.666666667,2079.5
586460,0.933333333,1043.428571,0.5,1181.666667
601127,1,1546.133333,0.916666667,2237.363636
627549,0.8,1412.583333,0.5,1924.166667
672756,0.933333333,1487.357143,0.5,2297.5
702133,0.933333333,1282,0.916666667,1736.181818
748258,0.466666667,1881.714286,0.75,1924
751348,1,1526.666667,0.833333333,2289
771354,1,1116.666667,1,1546.75
833148,0.8,1423.916667,0.5,1629.333333
861456,0.733333333,1755.909091,0.666666667,2437.875
877168,0.8,1741.25,0.833333333,2459.3
887373,0.933333333,1384.142857,0.666666667,1236.5
894673,1,1420.533333,0.333333333,1770.5
901442,0.933333333,1408.571429,0.583333333,1658.857143
910241,1,1556.866667,1,2120.083333
922854,1,1353.6,1,2021.916667
930449,0.933333333,1500.214286,1,2088.083333
958976,0.8,1682.166667,0.583333333,2108.285714
965367,1,1516.466667,0.583333333,1881.428571
983773,1,1144.666667,0.5,2084.166667
